'OnlyDate','errors','numIds'
'2024-04-05','56','25'
'2024-04-06','51','18'
'2024-04-07','48','18'
'2024-04-08','50','27'
'2024-04-09','73','34'
'2024-04-10','55','39'
'2024-04-11','32','19'
'2024-04-12','55','38'
'2024-04-13','44','20'
'2024-04-14','40','17'
'2024-04-15','43','25'
'2024-04-16','80','47'
'2024-04-17','91','56'
'2024-04-18','69','38'
'2024-04-19','66','37'
'2024-04-20','78','36'
'2024-04-21','60','24'
'2024-04-22','69','48'
'2024-04-23','83','57'
'2024-04-24','103','55'
'2024-04-25','78','39'
'2024-04-26','97','49'
'2024-04-27','70','30'
'2024-04-28','70','23'
'2024-04-29','89','36'
'2024-04-30','95','48'
'2024-05-01','84','37'
'2024-05-02','79','29'
'2024-05-03','75','41'
'2024-05-04','88','40'
'2024-05-05','86','33'
'2024-05-06','119','75'
'2024-05-07','100','50'
'2024-05-08','72','41'
'2024-05-09','104','50'
'2024-05-10','99','51'
'2024-05-11','96','34'
'2024-05-12','119','37'
'2024-05-13','102','49'
'2024-05-14','93','45'
'2024-05-15','149','47'
'2024-05-16','96','47'
'2024-05-17','98','54'
'2024-05-18','79','31'
'2024-05-19','83','24'
'2024-05-20','85','48'
